ticker,epic,instrument_name,instrument_type,currency,market_status,search_term
ENGILN,KC.D.ENGILN.CASH.IP,Acuity RM Group PLC,SHARES,N/A,EDITS_ONLY,AC
AFIBUS,UA.D.AFIBUS.CASH.IP,Acutus Medical Inc,SHARES,N/A,OFFLINE,AC
MACQUUS,UC.D.MACQUUS.CASH.IP,M I Acquisitions Inc,SHARES,N/A,OFFLINE,AC
ZIGUS,SI.D.ZIGUS.CASH.IP,The Acquirers Fund,SHARES,N/A,TRADEABLE,AC
ACACUUS,UA.D.ACACUUS.CASH.IP,Acies Acquisition Corporation,SHARES,N/A,CLOSED,AC
ACKITUS,UA.D.ACKITUS.CASH.IP,Ackrell SPAC Partners I Company (Unit) - ACKIT,SHARES,N/A,CLOSED,AC
FVAMUS,UB.D.FVAMUS.CASH.IP,5:01 Acquisition Corporation (Ord),SHARES,N/A,OFFLINE,AC
ACADUS,UA.D.ACADUS.CASH.IP,ACADIA Pharmaceuticals Inc,SHARES,N/A,TRADEABLE,AC
AMCIUUS,UA.D.AMCIUUS.CASH.IP,AMCI Acquisition Corp II,SHARES,N/A,TRADEABLE,AC
ACPHBB,EA.D.ACPHBB.CASH.IP,Acacia Pharma Group PLC,SHARES,N/A,CLOSED,AC
ACTGUS,UA.D.ACTGUS.CASH.IP,Acacia Research Corp,SHARES,N/A,TRADEABLE,AC
ASOUS,UA.D.ASOUS.CASH.IP,Academy Sports and Outdoors Inc,SHARES,N/A,TRADEABLE,AC
ACHCUS,UA.D.ACHCUS.CASH.IP,Acadia Healthcare Co Inc,SHARES,N/A,TRADEABLE,AC
AC8LN,KC.D.AC8LN.CASH.IP,Acceler8 Ventures PLC,SHARES,N/A,EDITS_ONLY,AC
AXDXUS,UA.D.AXDXUS.CASH.IP,Accelerate Diagnostics Inc,SHARES,N/A,CLOSED,AC
XLRNUS,UD.D.XLRNUS.CASH.IP,Acceleron Pharma Inc,SHARES,N/A,CLOSED,AC
E7SGY,ED.D.E7SGY.CASH.IP,Accentro Real Estate AG,SHARES,N/A,EDITS_ONLY,AC
LOQ,KC.D.LOQ.CASH.IP,Accesso Technology Group Plc,SHARES,N/A,EDITS_ONLY,AC
ACRLLN,KC.D.ACRLLN.CASH.IP,Accrol Group Holdings PLC,SHARES,N/A,CLOSED,AC
AXSLN,KA.D.AXSLN.CASH.IP,Accsys Technologies PLC,SHARES,N/A,EDITS_ONLY,AC
AXSNA,EG.D.AXSNA.CASH.IP,Accsys Technologies PLC (Amsterdam),SHARES,N/A,EDITS_ONLY,AC
YYUS,UD.D.YYUS.CASH.IP,JOYY Inc - ADR,SHARES,N/A,TRADEABLE,AD
ADOCFP,EC.D.ADOCFP.CASH.IP,Adocia,SHARES,N/A,EDITS_ONLY,AD
HIMFP,EC.D.HIMFP.CASH.IP,Adux SA,SHARES,N/A,CLOSED,AD
AFN,KC.D.AFN.CASH.IP,ADVFN PLC,SHARES,N/A,CLOSED,AD
ADAALN,KC.D.ADAALN.CASH.IP,Adams PLC (GBp),SHARES,N/A,CLOSED,AD
ALIFBSS,EH.D.ALIFBSS.CASH.IP,AddLife AB (publ),SHARES,N/A,EDITS_ONLY,AD
ADDTBSS,EH.D.ADDTBSS.CASH.IP,AddTech AB,SHARES,N/A,EDITS_ONLY,AD
TSRA,UD.D.TSRA.CASH.IP,Adeia Inc.,SHARES,N/A,TRADEABLE,AD
ADSGY,ED.D.ADSGY.CASH.IP,Adidas AG,SHARES,N/A,EDITS_ONLY,AD
ADTXUS,UA.D.ADTXUS.CASH.IP,Aditxt Inc,SHARES,N/A,TRADEABLE,AD
ADYENNA,EG.D.ADYENNA.CASH.IP,Adyen NV,SHARES,N/A,EDITS_ONLY,AD
RYAAY,UC.D.RYAAY.CASH.IP,Ryanair Holdings PLC - ADR,SHARES,N/A,TRADEABLE,AD
WPPGY,UD.D.WPPGY.CASH.IP,WPP PLC - ADR,SHARES,N/A,TRADEABLE,AD
ADN1GY,ED.D.ADN1GY.CASH.IP,adesso AG,SHARES,N/A,EDITS_ONLY,AD
JOBS,UB.D.JOBS.CASH.IP,51job Inc - ADR,SHARES,N/A,CLOSED,AD
ASTALN,KC.D.ASTALN.CASH.IP,ADM Energy PLC,SHARES,N/A,EDITS_ONLY,AD
ABCMUS,UA.D.ABCMUS.CASH.IP,Abcam PLC - ADR,SHARES,N/A,CLOSED,AD
ABVXUS,UA.D.ABVXUS.CASH.IP,Abivax SA ADR,SHARES,N/A,TRADEABLE,AD
ADAGUS,UA.D.ADAGUS.CASH.IP,Adagene Inc,SHARES,N/A,TRADEABLE,AD
ADAPTSS,EH.D.ADAPTSS.CASH.IP,Adapteo Oyj,SHARES,N/A,CLOSED,AD
TORCUS,UD.D.TORCUS.CASH.IP,Adicet Bio Inc,SHARES,N/A,TRADEABLE,AD
ADMCMFH,EB.D.ADMCMFH.CASH.IP,Admicom Oyj,SHARES,N/A,EDITS_ONLY,AD
ADVESS,EH.D.ADVESS.CASH.IP,Advenica AB,SHARES,N/A,EDITS_ONLY,AD
BIDU,UA.D.BIDU.CASH.IP,Baidu Inc ADR (24 Hours),SHARES,N/A,TRADEABLE,AD
CRESY,UA.D.CRESY.CASH.IP,Cresud SA - ADR,SHARES,N/A,TRADEABLE,AD
ERICY,UB.D.ERICY.CASH.IP,Ericsson (LM) - B - ADR,SHARES,N/A,TRADEABLE,AD
GRFSUS,UB.D.GRFSUS.CASH.IP,Grifols SA - ADR,SHARES,N/A,TRADEABLE,AD
GCVRZ,UB.D.GCVRZ.CASH.IP,Sanofi - CVR - ADR,SHARES,N/A,CLOSED,AD
NCTY,UC.D.NCTY.CASH.IP,The9 Ltd - ADR,SHARES,N/A,TRADEABLE,AD
VIPUS,SH.D.VIPUS.CASH.IP,VEON Ltd - ADR,SHARES,N/A,TRADEABLE,AD
VALNUS,UD.D.VALNUS.CASH.IP,Valneva SE - ADR,SHARES,N/A,TRADEABLE,AD
